# a b c
0.21 1.55 9.25
8.09 7.28 6.09
7.46 0.08 8.82
4.88 2.63 8.67
1.38 5.46 1.09
3.18 1.47 0.41
7.17 6.20 4.50
1.13 8.86 0.48
5.05 1.27 3.40
3.41 3.65 8.38
5.94 9.51 1.11
4.83 2.20 2.03
1.07 9.88 3.61
8.35 6.46 4.48
3.42 9.92 9.49
6.71 9.96 0.65
2.03 7.27 9.79
4.53 4.54 3.48
4.47 7.88 7.14
1.85 2.13 5.30
7.56 6.55 3.58
3.48 7.12 7.79
3.86 8.61 6.32
3.26 4.13 4.55
2.54 3.21 6.36
4.52 9.79 1.42
9.71 1.77 8.61
7.63 4.01 3.93
2.43 1.57 8.74
8.51 0.47 2.82
6.30 4.61 0.06
0.58 5.96 9.41
7.74 7.81 8.94
5.81 3.97 4.86
2.69 6.94 6.86
6.02 5.50 1.97
8.80 9.46 8.26
8.64 1.81 4.16
8.70 2.03 0.35
5.12 2.01 9.08
3.80 7.05 2.33
3.07 5.81 9.34
8.63 0.86 0.04
4.84 2.79 5.46
7.50 5.48 7.32
4.22 3.90 1.29
8.98 2.26 4.02
8.86 2.89 8.46
9.67 9.02 5.79
9.74 8.64 9.55
7.50 0.72 5.93
9.88 8.22 8.38
3.76 2.72 4.50
9.84 3.71 0.13
0.87 0.07 0.49
6.17 2.42 3.75
4.42 6.49 7.49
2.46 9.84 9.39
0.95 4.56 3.09
7.20 9.17 3.70
8.13 2.78 0.51
0.37 6.41 9.52
9.55 0.05 7.34
1.61 3.25 7.25
5.47 4.72 6.47
1.46 2.59 6.13
8.47 0.40 8.62
8.39 8.96 0.31
9.27 4.00 0.84
8.19 0.05 4.12
5.50 1.00 8.34
3.74 9.94 7.44
4.77 9.07 5.70
3.00 8.23 0.93
3.52 3.26 5.29
0.47 7.22 9.10
1.17 1.09 3.60
7.84 8.03 9.43
0.85 8.66 3.00
8.85 4.65 0.62
1.70 7.85 7.17
5.23 4.34 5.01
5.39 2.31 7.53
3.92 6.69 7.20
5.81 0.98 0.17
6.26 8.98 6.38
0.60 9.31 2.90
0.52 1.02 4.91
1.70 2.60 4.93
0.53 1.96 6.77
9.16 6.30 4.09
4.62 9.63 8.17
1.45 8.66 5.35
9.43 9.76 3.92
9.29 9.19 9.58
0.98 8.98 7.47
6.59 7.07 4.93
9.36 5.69 6.92
0.11 8.57 3.77
5.50 3.86 7.12
2.59 3.62 7.38
2.30 6.45 1.34
0.47 3.74 1.52
3.18 3.18 1.90
9.61 9.18 9.66
7.77 9.09 8.63
5.35 1.56 2.09
0.01 7.80 3.45
8.72 3.14 0.12
0.08 9.95 6.78
8.95 1.51 7.82
1.64 2.03 6.56
7.46 1.19 2.29
4.70 8.75 9.30
3.51 4.74 9.08
0.11 6.03 9.95
4.83 3.80 6.07
8.42 3.85 7.98
4.54 6.08 9.11
0.10 7.81 0.26
2.74 1.76 4.74
8.07 2.69 1.68
8.23 0.89 4.07
4.04 2.47 6.39
5.11 3.60 4.22
0.80 0.66 2.18
6.09 8.69 8.39
9.62 0.93 4.30
1.18 2.98 1.32
0.72 5.68 0.33
5.62 7.12 4.06
2.46 1.49 9.47
7.19 1.23 2.15
5.28 6.77 9.68
4.19 2.37 5.98
6.07 3.26 4.24
1.01 7.37 6.26
5.12 4.33 3.05
6.70 0.33 0.31
0.10 1.22 8.55
4.17 5.56 1.76
2.59 4.60 2.27
6.45 5.23 1.12
8.48 6.39 1.56
8.95 4.75 9.16
6.55 7.64 0.03
8.31 8.20 3.47
0.74 0.28 9.35
5.62 2.07 0.97
2.58 4.07 5.75
8.96 2.07 1.57
1.76 6.83 5.03
4.90 4.66 3.52
5.10 3.80 7.84
4.57 9.67 9.99
1.15 2.94 2.69
0.46 6.08 5.76
2.60 6.90 1.11
6.32 7.41 6.81
1.95 3.55 4.17
8.49 4.10 0.99
6.34 1.80 4.08
9.33 5.25 8.41
1.79 4.67 7.36
5.92 6.55 5.89
9.24 3.58 9.87
5.89 7.02 0.80
4.25 1.73 6.78
2.66 5.88 4.64
4.73 9.16 3.45
3.19 9.23 6.99
2.66 2.25 4.73
4.16 6.30 9.98
6.68 4.84 4.88
6.32 8.39 9.86
3.05 0.23 1.41
1.36 2.65 7.84
8.53 9.77 5.89
4.73 9.85 9.70
4.35 6.11 8.30
6.06 9.58 4.94
4.65 2.02 3.83
7.44 3.15 6.23
6.63 7.07 2.63
4.97 1.34 2.19
0.21 5.36 5.51
1.23 7.20 5.85
6.60 4.18 6.19
6.67 5.48 1.85
2.84 5.05 0.51
6.90 8.49 9.90
9.65 4.01 2.30
9.26 4.23 7.94
8.40 1.08 0.88
1.40 3.90 0.58
9.52 3.07 2.29
5.07 4.61 4.16
5.95 2.28 8.07
0.24 7.36 5.73
7.13 5.17 5.38
0.81 1.29 1.72
5.62 4.39 4.07
3.21 2.41 4.79
1.20 3.67 0.25
2.74 1.36 0.12
4.37 9.00 7.35
9.13 6.33 3.26
9.83 8.19 4.66
6.24 2.05 1.99
1.82 3.86 3.44
4.24 6.06 6.57
5.28 6.13 8.98
6.41 3.03 3.67
8.64 8.95 0.18
9.83 5.51 6.18
9.97 5.20 6.99
9.84 6.26 6.82
9.28 1.14 1.54
8.50 4.29 4.58
3.64 6.46 8.81
7.82 1.85 8.55
7.34 0.24 4.44
6.57 3.14 5.53
4.44 8.33 8.94
5.22 3.39 6.49
5.36 2.26 1.28
9.13 4.88 0.51
8.68 4.67 0.42
1.52 3.71 5.65
5.01 7.10 2.70
1.71 6.75 6.98
2.07 9.09 0.24
2.23 8.12 4.11
1.30 1.23 2.66
8.51 4.23 3.54
9.69 7.23 2.51
8.87 4.26 0.15
5.87 4.02 9.63
7.08 3.79 7.31
6.58 9.61 3.47
9.48 7.10 2.23
5.60 2.82 9.88
7.42 7.78 7.14
0.47 0.24 8.28
0.32 8.42 9.65
6.68 9.78 7.92
0.19 5.46 9.33
2.91 5.86 6.43
6.22 4.89 6.74
5.51 9.62 8.24
4.70 4.75 4.30
4.14 1.01 2.32
6.16 4.34 1.93
3.83 1.02 8.48
7.45 7.26 5.55
3.45 7.02 6.85
4.31 8.52 10.00
8.54 4.47 8.81
7.75 0.83 7.14
2.71 1.10 3.36
4.09 4.96 3.98
4.59 8.18 1.07
6.38 8.61 0.96
8.33 2.63 8.32
7.33 3.70 2.01
0.10 6.48 8.83
7.35 3.36 6.17
4.61 7.68 5.83
0.45 6.85 9.14
7.95 3.42 3.27
0.48 7.22 1.69
3.51 6.76 4.46
7.69 2.69 1.50
9.73 4.18 0.73
9.85 0.22 8.86
7.39 7.73 1.25
1.73 4.58 6.54
7.28 7.83 9.56
7.24 2.46 7.90
1.86 1.58 1.00
3.97 0.63 4.48
2.98 5.22 8.17
4.79 4.89 9.67
4.44 6.02 0.05
2.65 4.18 1.13
0.42 3.46 4.77
4.57 9.22 0.70
1.20 8.39 1.21
0.93 0.73 1.32
5.85 1.74 3.96
5.03 0.99 4.23
0.14 1.36 3.08
7.41 9.59 8.32
1.66 3.14 7.90
5.67 9.78 4.43
2.41 7.38 6.01
3.12 8.23 4.70
3.78 1.80 3.23
9.93 4.13 1.69
6.71 4.69 6.90
6.09 8.46 4.66
6.24 5.53 3.00
2.15 0.05 0.99
4.21 9.03 0.25
3.09 0.09 7.68
2.18 4.55 7.10
3.14 0.32 8.93
1.04 6.09 5.33
2.30 4.08 6.21
0.60 7.88 4.90
9.21 6.46 1.85
3.70 4.06 8.75
5.33 8.50 2.55
8.24 9.47 0.94
7.19 7.26 5.41
0.63 0.65 5.53
9.56 1.47 7.01
1.47 4.67 8.47
0.13 0.45 5.30
2.38 0.15 0.64
1.13 4.88 5.22
2.77 3.49 9.69
9.69 0.79 5.78
4.15 1.93 7.63
8.24 5.98 6.37
4.19 4.57 6.20
6.11 0.95 0.32
5.05 9.90 8.95
7.72 3.98 9.66
3.24 4.80 3.50
5.32 0.57 7.42
2.38 1.08 6.28
9.28 8.66 8.82
0.95 1.75 0.85
8.88 8.77 9.18
1.39 7.43 8.06
2.84 6.68 7.54
8.64 7.04 7.02
5.32 0.90 4.68
8.28 7.13 2.81
4.70 0.80 6.57
6.50 4.20 1.39
8.67 8.08 9.52
7.41 1.20 2.77
1.77 5.88 8.39
5.54 2.62 4.39
0.88 6.15 1.10
1.51 1.82 2.54
5.82 4.64 3.54
7.46 6.88 3.07
8.73 3.65 5.05
2.00 8.42 7.02
5.55 3.90 2.79
3.15 5.68 6.55
7.93 1.69 6.00
6.46 6.73 5.36
8.86 5.28 9.71
5.78 3.87 1.29
8.22 3.07 4.41
3.93 9.51 3.24
0.65 9.95 0.87
8.01 9.07 2.95
5.79 7.95 1.87
3.26 7.01 8.89
7.84 3.39 9.44
2.34 7.15 2.31
5.49 1.22 4.53
8.38 8.43 5.87
3.36 3.86 5.27
4.91 2.06 9.54
5.47 9.52 2.06
8.75 7.56 1.43
4.51 2.18 6.00
3.39 7.83 5.54
6.04 3.15 0.28
8.65 9.11 8.07
8.20 1.56 4.85
6.58 7.67 2.82
6.12 6.92 1.55
4.16 2.81 3.29
1.88 6.31 7.02
2.49 6.17 4.29
1.28 1.15 9.98
0.40 7.98 3.75
2.94 8.64 0.10
4.99 4.48 8.39
1.43 0.94 8.46
5.99 9.39 5.53
10.00 2.53 8.80
4.19 7.32 3.87
5.78 2.24 6.60
2.58 0.58 7.79
9.06 4.60 1.08
2.76 2.23 3.87
7.61 2.65 2.77
7.80 7.43 7.74
7.63 3.31 6.57
2.87 8.00 3.48
8.80 9.79 6.54
5.07 0.93 1.00
1.03 0.32 0.32
5.84 7.51 5.33
7.09 9.71 9.85
6.46 4.70 3.55
8.34 3.89 6.41
5.23 0.69 3.47
7.37 4.13 5.18
3.14 4.83 9.13
5.06 0.72 6.06
8.39 0.72 8.45
3.51 2.93 5.49
3.36 5.94 9.77
3.17 4.73 4.13
5.83 1.32 9.37
9.08 9.56 6.42
2.31 2.87 6.82
4.33 8.24 7.26
1.84 7.78 4.03
8.32 6.00 2.24
1.33 4.26 2.94
0.37 6.82 7.56
2.49 6.50 3.68
9.01 4.97 3.74
2.10 8.22 5.71
7.68 4.98 8.06
6.78 4.52 0.08
0.96 4.69 2.43
5.14 9.28 4.24
7.72 9.62 9.28
4.85 6.97 3.09
7.55 3.11 5.86
7.86 5.01 6.69
7.06 6.81 2.17
4.51 0.69 1.62
7.10 9.71 5.64
9.63 1.45 3.38
1.10 4.76 7.17
6.70 2.27 4.06
7.15 5.05 9.45
4.06 8.94 3.04
8.34 9.99 6.00
0.20 3.73 2.32
6.11 4.43 0.12
1.02 8.64 0.37
7.08 0.77 9.67
0.21 0.37 8.57
0.81 7.36 3.25
1.78 6.19 7.72
8.95 0.11 2.36
9.94 6.26 9.60
7.74 8.05 7.32
8.68 4.31 3.77
1.97 5.42 5.34
6.87 7.18 0.12
3.28 5.55 4.35
0.26 2.03 9.32
8.49 0.82 5.28
1.21 0.80 0.86
1.74 5.83 6.11
1.50 8.39 1.22
6.34 6.85 7.92
5.63 4.55 2.27
3.40 3.57 6.29
1.87 9.31 0.62
2.64 0.07 1.03
0.05 1.88 3.10
6.31 9.75 2.61
9.64 0.34 6.22
9.23 8.67 8.41
5.50 7.97 6.27
7.41 7.19 2.85
8.28 5.62 9.91
1.50 7.66 5.69
0.00 3.72 8.36
5.81 2.96 8.29
1.05 0.49 5.80
0.25 6.36 9.45
8.70 1.06 7.37
8.74 9.75 3.69
8.95 8.09 1.46
5.22 9.13 4.69
0.75 9.74 7.68
8.63 2.92 1.77
4.45 1.28 2.17
3.43 7.47 2.66
1.95 8.11 8.72
4.38 8.06 8.80
3.48 2.93 6.29
3.23 8.20 4.11
1.33 7.58 2.23
0.36 5.09 6.64
2.42 7.22 8.76
3.78 8.37 6.79
2.83 5.75 3.54
2.22 1.28 5.95
0.18 0.84 6.23
5.83 8.77 4.17
7.18 1.62 7.94
3.17 2.95 6.87
0.13 5.81 6.42
6.62 9.22 2.66
7.20 9.57 3.70
6.25 8.89 0.91
7.19 8.09 8.95
6.42 6.95 3.53
1.23 8.81 5.18
8.66 0.44 4.80
7.08 6.20 9.40
5.39 5.41 0.59
3.77 0.50 8.63
9.64 5.76 3.98
7.29 7.71 0.65
8.41 4.08 3.28
1.66 8.40 6.15
3.41 8.43 8.96
1.20 5.85 0.41
0.92 8.76 0.58
0.62 8.82 2.22
6.82 2.02 0.24
7.09 0.21 8.17
8.70 3.52 5.60
2.86 6.11 4.28
2.74 5.30 2.05
1.79 3.73 9.62
3.73 1.97 7.65
8.11 1.64 1.97
8.41 5.49 9.02
7.17 9.11 0.42
1.84 0.59 7.43
2.50 8.81 0.86
0.79 2.26 2.22
6.86 8.54 8.85
0.38 5.06 6.96
8.91 6.80 8.58
0.15 8.61 4.45
0.32 3.12 5.58
7.81 7.44 9.45
3.43 7.21 5.63
1.83 7.50 4.98
2.40 1.88 4.25
3.94 7.71 8.51
4.75 5.35 5.37
1.75 7.64 6.78
6.89 0.99 0.36
7.17 9.27 1.38
1.29 1.08 8.07
5.48 7.76 5.34
2.28 5.14 4.53
3.68 4.17 3.91
8.45 5.31 9.65
1.01 8.07 0.65
5.56 9.16 1.28
6.06 5.94 7.75
7.87 3.91 3.50
0.94 6.19 0.52
9.10 4.13 7.85
6.29 6.09 1.54
5.43 6.78 8.27
9.46 5.88 8.38
7.91 1.19 0.48
6.15 9.37 2.20
6.37 1.24 7.82
0.12 4.56 1.91
3.92 5.43 7.33
7.08 0.07 7.95
4.79 8.87 5.38
9.86 9.75 0.67
0.41 5.87 2.66
0.26 7.10 1.21
8.35 3.25 6.57
3.65 1.15 4.66
3.15 3.55 2.40
0.25 8.29 4.76
6.76 3.39 0.10
7.28 1.35 3.07
6.79 9.34 7.41
5.74 4.05 1.89
2.60 2.81 2.40
4.83 8.43 6.38
0.91 8.90 0.97
2.37 8.11 9.86
1.97 3.60 8.78
0.95 4.44 7.05
9.01 1.06 7.50
8.11 3.73 5.43
6.76 1.08 7.81
7.12 0.41 8.55
5.13 4.24 5.69
6.87 9.51 7.49
7.43 2.52 0.67
8.17 8.31 3.48
2.29 1.39 3.77
1.47 0.15 6.40
7.14 2.43 8.66
9.15 5.43 8.42
4.99 3.13 4.03
1.17 9.55 8.20
7.51 1.67 7.39
7.19 7.54 5.29
8.02 1.41 0.49
2.07 5.31 7.95
1.06 1.07 6.39
0.52 3.31 9.05
1.15 9.72 5.08
0.86 3.34 7.60
2.60 3.09 8.37
2.70 8.45 8.12
2.03 6.91 0.29
7.60 4.67 9.75
3.29 7.26 2.23
9.95 4.69 4.57
0.73 2.41 9.11
3.64 0.71 4.75
4.94 9.97 5.59
0.79 9.46 8.44
4.13 7.74 3.75
0.47 7.32 6.72
5.23 0.16 4.66
0.90 0.27 5.56
3.46 8.22 7.75
8.11 6.01 4.05
9.32 8.91 2.86
0.18 7.64 0.88
2.71 8.86 9.39
3.33 3.74 6.73
3.70 2.97 5.85
5.82 8.72 3.36
4.47 2.34 5.05
9.26 4.55 4.80
8.10 9.00 8.68
2.59 5.97 8.42
2.97 2.75 4.06
3.46 1.96 2.28
0.69 0.68 9.10
9.08 5.54 6.01
8.84 2.97 1.83
8.05 7.70 9.10
1.70 2.30 1.76
7.89 2.91 6.01
3.77 6.34 5.19
0.64 9.83 0.87
2.02 4.56 5.81
4.22 0.26 4.15
5.87 8.42 9.60
5.05 8.35 0.99
1.98 3.78 8.36
3.49 3.17 8.07
9.97 5.92 2.80
1.57 7.38 6.43
9.22 6.44 6.97
8.47 3.97 7.04
4.05 8.36 4.45
2.96 7.73 9.65
8.05 9.16 4.94
9.65 5.40 2.67
0.33 1.49 2.88
7.76 2.22 3.98
4.70 6.20 5.88
3.74 2.88 7.89
6.22 4.93 9.39
6.30 3.52 6.92
8.52 0.65 0.47
8.47 5.94 9.75
0.09 4.53 5.45
9.72 0.04 2.63
6.67 4.42 4.17
8.40 0.53 2.11
3.53 3.47 5.98
6.61 4.07 7.72
4.81 9.05 7.96
2.97 4.64 5.02
6.40 5.70 2.75
3.19 9.93 3.53
4.00 6.65 7.76
8.18 9.45 7.91
9.10 5.80 3.34
8.22 2.23 6.50
5.97 1.70 3.15
2.99 4.13 9.32
5.89 4.71 1.17
1.12 8.69 2.30
1.17 2.32 5.36
7.33 6.24 1.65
2.39 9.75 5.92
2.25 6.55 5.57
8.26 0.66 4.49
6.37 8.79 5.53
9.32 9.41 1.40
0.27 9.04 4.39
7.59 1.73 5.77
3.29 6.00 4.94
9.17 0.57 3.15
8.20 6.71 4.04
5.18 2.34 3.24
3.01 5.81 5.99
1.54 2.46 2.89
5.59 0.35 7.30
6.97 6.88 9.58
8.37 4.81 1.11
1.00 1.79 8.81
0.35 8.20 5.55
6.30 8.66 2.68
1.98 6.64 2.37
0.34 4.16 4.04
9.30 1.39 0.36
1.98 2.60 6.66
4.90 0.04 7.26
1.38 2.13 6.83
3.80 5.76 7.97
6.09 0.68 5.71
5.99 2.19 4.01
2.67 9.69 9.37
1.12 8.51 5.99
5.69 2.86 9.79
1.31 4.91 7.70
3.61 4.17 3.56
8.89 1.98 9.08
3.92 8.05 2.99
2.31 4.24 4.76
2.02 6.72 4.16
4.27 6.62 9.81
4.79 7.62 0.03
0.45 5.44 8.97
2.33 3.65 1.99
6.68 2.84 3.43
5.70 2.24 7.70
6.34 9.91 6.37
5.50 3.05 4.01
4.62 5.15 7.85
6.11 4.78 2.89
9.37 8.74 6.57
2.13 8.81 9.64
7.28 6.33 4.08
6.12 2.92 7.07
9.90 5.11 3.96
7.68 5.87 1.64
4.04 1.15 4.01
1.89 9.71 9.81
7.55 8.98 9.89
8.82 2.09 2.16
0.73 4.00 2.32
2.47 4.04 9.38
9.99 6.90 3.26
8.28 1.73 4.54
1.65 9.12 9.94
4.69 3.52 4.17
9.97 5.44 2.66
7.76 8.74 4.85
4.96 7.23 7.64
2.71 8.30 7.04
1.42 9.89 6.39
7.65 9.45 3.90
4.34 0.06 6.03
7.51 3.61 6.49
0.66 9.60 4.24
7.94 0.80 9.17
4.69 1.99 1.47
6.63 1.67 3.31
9.93 3.53 9.70
9.62 6.78 6.05
1.52 0.38 8.26
4.67 5.67 4.28
3.99 2.17 8.64
8.57 7.45 9.51
6.82 6.46 5.75
7.32 9.94 6.99
0.98 1.22 5.51
4.62 2.08 7.35
8.79 7.01 8.63
7.24 4.41 6.36
7.53 1.35 3.67
8.40 5.55 5.75
6.56 7.94 7.97
9.63 5.67 0.48
0.75 2.56 6.32
1.21 5.30 0.17
8.67 6.98 6.31
6.32 1.31 0.36
2.89 3.24 3.73
7.90 9.00 0.92
2.39 6.78 6.26
7.63 9.18 3.46
5.03 1.61 8.43
1.12 9.94 1.25
2.33 0.98 7.05
7.05 7.94 0.37
1.18 9.46 4.11
1.41 9.62 1.17
8.62 1.21 7.26
4.39 1.18 2.71
5.48 3.79 3.08
6.33 0.74 2.30
9.69 5.87 8.82
1.64 8.32 8.06
5.59 9.56 0.30
5.94 5.61 5.39
9.63 4.30 9.22
2.55 1.55 1.26
2.02 4.49 7.36
0.41 3.98 6.23
2.26 2.18 1.39
5.64 1.51 9.05
0.22 5.97 3.62
6.75 4.98 0.91
2.93 0.72 5.71
8.87 8.88 6.19
2.43 7.01 1.09
1.82 7.97 9.37
0.68 6.07 1.93
4.94 1.77 4.14
4.62 6.21 9.06
7.16 1.41 9.00
0.87 7.66 3.49
3.12 4.96 4.61
1.85 9.91 7.82
1.08 4.27 3.42
4.94 6.16 4.25
6.23 1.43 4.51
4.35 8.85 7.51
9.04 0.42 7.83
4.79 2.73 8.39
3.63 5.84 3.52
2.41 5.47 4.94
8.66 0.32 7.04
2.76 8.09 8.89
0.21 2.58 7.05
